Set_Name,Theme,Pieces,Price,Pages,Unique_Pieces
Creative Blue Bricks,Classic,52.0,4.99,37.0,28.0
Creative Green Bricks,Classic,60.0,4.99,37.0,36.0
Fire Truck,DUPLO,6.0,6.99,3.0,6.0
Tow Truck,DUPLO,7.0,6.99,3.0,7.0
Stephanie's Summer Heart Box,Friends,95.0,7.99,40.0,52.0
White Baseplate,Classic,1.0,7.99,1.0,1.0
My First Tow Truck,DUPLO,11.0,9.99,10.0,10.0
Woody & RC,Disney,69.0,9.99,28.0,36.0
Mia's Summer Heart Box,Friends,85.0,7.99,36.0,41.0
Olivia's Summer Heart Box,Friends,93.0,7.99,40.0,48.0
Police Patrol Car,City,92.0,9.99,36.0,52.0
Prince Puppycorn Trike,Unikitty,101.0,9.99,56.0,65.0
Kai Avatar - Arcade Pod,NINJAGO,49.0,9.99,3.0,31.0
Jay Avatar - Arcade Pod,NINJAGO,47.0,9.99,3.0,28.0
My First Minnie Build,Disney,10.0,9.99,10.0,9.0
Police Bike,DUPLO,8.0,9.99,10.0,7.0
Pizza Stand,DUPLO,18.0,9.99,12.0,15.0
Emma's Mobile Veterinary Clinic ,Friends,50.0,9.99,28.0,35.0
Barbecue Burn Out,City,64.0,9.99,28.0,45.0
Monster Truck,City,55.0,9.99,32.0,34.0
Jet Patrol,City,54.0,9.99,36.0,45.0
Construction Loader,City,88.0,9.99,36.0,50.0
Stunt Team,City,62.0,9.99,36.0,34.0
Cole's Speeder Car,NINJAGO,52.0,9.99,36.0,32.0
Ice Cream Cart,Friends,97.0,9.99,40.0,60.0
Puppy Playground,Friends,57.0,9.99,40.0,41.0
Police Dog Unit,City,67.0,9.99,40.0,48.0
Resistance Y-wing Microfighter,Star Wars,86.0,9.99,40.0,44.0
Street Sweeper,City,89.0,9.99,48.0,55.0
Mail Plane,City,74.0,9.99,52.0,55.0
Satellite Service Mission,City,84.0,9.99,56.0,52.0
Forest Fire,City,84.0,9.99,56.0,49.0
Jungle Raider,NINJAGO,127.0,9.99,60.0,61.0
Unikitty Cloud Car,Unikitty,126.0,9.99,60.0,83.0
My First Race Car,DUPLO,6.0,4.99,9.0,6.0
Ocean Mini-Submarine,City,41.0,9.99,37.0,30.0
Olivia's Flower Garden,Friends,92.0,9.99,48.0,61.0
Aurora's Royal Carriage,Disney,62.0,9.99,28.0,35.0
Lloyd Avatar - Arcade Pod,NINJAGO,48.0,9.99,3.0,28.0
Moana's Ocean Adventure,Disney,46.0,9.99,36.0,39.0
The Taiga Adventure,Minecraft,74.0,9.99,40.0,48.0
Kylo Ren's Shuttle Microfighter,Star Wars,72.0,9.99,40.0,40.0
Thanos Mech,Marvel,152.0,9.99,56.0,62.0
Iron Man Mech,Marvel,148.0,9.99,64.0,61.0
Spider-Man Mech,Marvel,152.0,9.99,68.0,62.0
Propeller Plane,Creator 3-in-1,128.0,9.99,112.0,50.0
Sports Car,Creator 3-in-1,134.0,9.99,120.0,60.0
Batboat The Penguin Pursuit!,Batman,54.0,9.99,44.0,41.0
Bricks and Ideas,Classic,123.0,9.99,42.0,59.0
Mighty Micros: Scarlet Spider vs. Sandman,Marvel,89.0,9.99,7.0,49.0
Farm Animals,DUPLO,16.0,9.99,8.0,13.0
My First Mickey Build,Disney,9.0,9.99,10.0,8.0
Arctic Exploration Team,City,70.0,9.99,28.0,47.0
BigFig Pig with Baby Zombie,Minecraft,159.0,14.99,40.0,47.0
Dune Buggy,Creator 3-in-1,147.0,12.99,120.0,65.0
BigFig Creeper and Ocelot,Minecraft,184.0,14.99,48.0,65.0
Monster Truck,Creator 3-in-1,163.0,14.99,136.0,54.0
Unikitty's Sweetest Friends EVER!,THE LEGO MOVIE 2,76.0,9.99,36.0,50.0
Olivia's Heart Box,Friends,85.0,7.99,32.0,38.0
Buggy,Technic,117.0,12.99,48.0,47.0
Chevrolet Camaro ZL1 Race Car,Speed Champions,198.0,14.99,60.0,81.0
McLaren Senna,Speed Champions,219.0,14.99,64.0,92.0
Futuristic Flyer,Creator 3-in-1,157.0,14.99,136.0,65.0
Deep Sea Creatures,Creator 3-in-1,230.0,14.99,176.0,83.0
Gamora,BrickHeadz,136.0,9.99,48.0,51.0
Mini CLAAS XERION,Technic,130.0,12.99,56.0,45.0
1974 Porsche 911 Turbo 3.0,Speed Champions,180.0,14.99,80.0,75.0
Sith Troopers Battle Pack,Star Wars,105.0,14.99,40.0,51.0
Mandalorian Battle Pack,Star Wars,102.0,14.99,44.0,59.0
Playroom,DUPLO,17.0,14.99,2.0,16.0
Death Star Cannon,Star Wars,159.0,19.99,80.0,79.0
Rainbow Fun,Classic,85.0,4.99,37.0,42.0
Han Solo,Star Wars,141.0,9.99,44.0,51.0
Arctic Ice Glider,City,50.0,6.99,28.0,30.0
Olaf,LEGO Frozen 2,122.0,14.99,52.0,61.0
Spinjitzu Slam - Jay,NINJAGO,72.0,9.99,44.0,37.0
Emma's Summer Heart Box,Friends,86.0,7.99,36.0,45.0
Rainbow Jewellery Stand,DOTS,213.0,14.99,4.0,42.0
Bedroom,DUPLO,16.0,14.99,2.0,16.0
Animal Picture Holders,DOTS,423.0,14.99,4.0,54.0
Stephanie's Heart Box,Friends,85.0,7.99,32.0,36.0
Andrea's Summer Heart Box,Friends,83.0,7.99,36.0,46.0
Cole - Dragon Master,NINJAGO,92.0,14.99,48.0,54.0
The Samurai Mech,NINJAGO,154.0,14.99,48.0,71.0
Introducing Queen Watevra Wa'Nabi,THE LEGO MOVIE 2,115.0,19.99,48.0,82.0
Ferrari F40 Competizione,Speed Champions,198.0,14.99,56.0,72.0
Helicopter Adventure,Creator 3-in-1,114.0,9.99,92.0,68.0
Spinjitzu Slam - Lloyd,NINJAGO,70.0,9.99,44.0,34.0
Mia's Play Cube - Cinema,Friends,37.0,9.99,5.0,31.0
Monastery Training,NINJAGO,122.0,9.99,40.0,65.0
Systar Party Crew,THE LEGO MOVIE 2,196.0,19.99,80.0,104.0
Party Time,Unikitty,214.0,19.99,80.0,119.0
Mulan's Storybook Adventures,Disney,124.0,19.99,3.0,72.0
Toy Story Train,Disney,21.0,19.99,8.0,19.0
Creative Suitcase,Classic,213.0,19.99,36.0,89.0
Carnival Thrill Coaster,Disney,98.0,19.99,44.0,56.0
Expecto Patronum,Harry Potter,121.0,19.99,48.0,55.0
Vulture's Trucker Robbery,Marvel,93.0,19.99,48.0,62.0
Captain America: Outriders Attack,Marvel,167.0,19.99,52.0,75.0
Cole's Dirt Bike,NINJAGO,212.0,19.99,56.0,97.0
The Rise of Voldemort,Harry Potter,184.0,19.99,56.0,102.0
Mia's Foal Stable ,Friends,118.0,19.99,64.0,66.0
Welcome to the Hidden Side,Hidden Side,189.0,19.99,68.0,103.0
The Chicken Coop,Minecraft,198.0,19.99,72.0,90.0
The End Battle,Minecraft,222.0,19.99,72.0,91.0
Construction Bulldozer,City,126.0,19.99,84.0,81.0
Avengers Speeder Bike Attack,Marvel,226.0,19.99,104.0,97.0
My First Ladybird,DUPLO,6.0,4.99,9.0,5.0
My First Car Creations,DUPLO,34.0,19.99,10.0,31.0
Snow Groomer,City,197.0,19.99,60.0,81.0
Anna's Canoe Expedition,LEGO Frozen 2,108.0,19.99,64.0,61.0
Diving Yacht,City,148.0,19.99,64.0,81.0
Emmet's Thricycle!,THE LEGO MOVIE 2,174.0,14.99,84.0,100.0
Garbage Truck,City,90.0,19.99,40.0,52.0
Anna and Elsa's Storybook Adventures,LEGO Frozen 2,133.0,19.99,3.0,71.0
Ariel's Storybook Adventures,Disney,105.0,19.99,3.0,61.0
Belle's Storybook Adventures,Disney,111.0,19.99,3.0,71.0
Aquaman,BrickHeadz,135.0,9.99,36.0,40.0
Mountain Fugitives,City,88.0,9.99,36.0,61.0
Jasmine's Petite Tower,Disney,49.0,9.99,24.0,35.0
Poppy's Pod,Trolls World Tour,103.0,19.99,68.0,70.0
Techno Reef Dance Party,Trolls World Tour,173.0,19.99,72.0,85.0
The Zombie Cave,Minecraft,241.0,19.99,84.0,88.0
Emma's Play Cube - Toy Store,Friends,49.0,9.99,5.0,42.0
Andrea's Heart Box,Friends,84.0,7.99,32.0,38.0
Speed Record Car,City,78.0,9.99,40.0,47.0
Jack's Beach Buggy,Hidden Side,170.0,19.99,56.0,98.0
The Wool Farm,Minecraft,260.0,19.99,80.0,81.0
Duel on Mustafar ,Star Wars,208.0,19.99,80.0,84.0
Rex's Rex-treme Offroader!,THE LEGO MOVIE 2,236.0,29.99,132.0,109.0
Rocket Truck,Creator 3-in-1,198.0,19.99,148.0,90.0
Imperial Patrol Battle Pack,Star Wars,99.0,14.99,36.0,43.0
The Panda Nursery,Minecraft,204.0,19.99,48.0,76.0
Police Pursuit,Technic,120.0,19.99,114.0,39.0
Good Morning Sparkle Babies!,THE LEGO MOVIE 2,50.0,9.99,32.0,44.0
Unstoppable Bike Chase,Minions,136.0,19.99,60.0,79.0
Ice-Cream Truck,City,200.0,19.99,100.0,112.0
Emma's Heart Box,Friends,85.0,7.99,32.0,38.0
Mulan's Training Day,Disney,104.0,14.99,36.0,62.0
Elsa and Olaf's Tea Party,DUPLO,17.0,19.99,12.0,13.0
Olivia's Play Cube - Researcher,Friends,40.0,9.99,5.0,34.0
Mia's Play Cube - Veterinarian,Friends,40.0,9.99,5.0,32.0
Emma's Play Cube - Photographer,Friends,36.0,9.99,5.0,31.0
Basic Brick Set ,Classic,300.0,19.99,66.0,93.0
Underwater Robot,Creator 3-in-1,207.0,19.99,140.0,81.0
Sunset Track Racer,Creator 3-in-1,221.0,19.99,144.0,81.0
Andrea's Car & Stage,Friends,240.0,19.99,68.0,116.0
Heart Box,DUPLO,80.0,19.99,2.0,39.0
Submarine Adventure,DUPLO,24.0,19.99,8.0,22.0
Fire Truck,DUPLO,21.0,19.99,10.0,16.0
Minnie's Birthday Party,Disney,21.0,19.99,12.0,18.0
Train Tracks,DUPLO,23.0,19.99,16.0,9.0
Spinjitzu Zane,NINJAGO,109.0,9.99,32.0,21.0
Juice Truck,Friends,103.0,19.99,52.0,75.0
Kai's Fire Dragon,NINJAGO,81.0,19.99,60.0,48.0
Safari Off-Roader,City,168.0,19.99,76.0,86.0
Heartlake City Hair Salon,Friends,235.0,19.99,84.0,138.0
T-16 Skyhopper vs Bantha Microfighters,Star Wars,198.0,19.99,84.0,100.0
Kai's Mech Jet,NINJAGO,217.0,19.99,116.0,94.0
Naboo Starfighter Microfighter,Star Wars,62.0,9.99,36.0,42.0
Spinjitzu Slam - Zane,NINJAGO,63.0,9.99,40.0,37.0
Stephanie's Play Cube - Baker,Friends,44.0,9.99,5.0,37.0
Mia's Heart Box,Friends,83.0,7.99,32.0,38.0
Olivia's Play Cube - Sweet Shop,Friends,47.0,9.99,5.0,40.0
Desert Rally Racer,City,75.0,9.99,36.0,45.0
Race Truck,Technic,227.0,19.99,35.0,59.0
Hook Loader,Technic,176.0,14.99,104.0,48.0
Andrea's Play Cube - Singer,Friends,49.0,9.99,5.0,32.0
Rapunzel's Small Tower,Disney,44.0,9.99,24.0,28.0
Mia's Forest Adventures ,Friends,134.0,14.99,44.0,77.0
Nissan GT-R NISMO,Speed Champions,298.0,19.99,80.0,101.0
Cyborg,BrickHeadz,108.0,9.99,32.0,48.0
Cole - Spinjitzu Master,NINJAGO,73.0,9.99,32.0,40.0
Zane - Dragon Master,NINJAGO,92.0,14.99,48.0,54.0
Extreme Engines,Creator 3-in-1,109.0,9.99,76.0,53.0
Mighty Micros: Star-Lord vs. Nebula,Marvel,86.0,9.99,7.0,45.0
My First Fun Puzzle,DUPLO,15.0,19.99,9.0,15.0
Fire Dragon,Creator 3-in-1,234.0,19.99,132.0,80.0
Zane - Spinjitzu Master,NINJAGO,69.0,9.99,32.0,38.0
Andrea's Play Cube - Pet Shop,Friends,40.0,9.99,5.0,33.0
Bubbles Playground Showdown,Powerpuff Girls,144.0,19.99,48.0,92.0
