Set_Name,Theme,Pieces,Price,Pages,Unique_Pieces,build_type
Creative Blue Bricks,Classic,52.0,4.99,37.0,28.0,other
Creative Green Bricks,Classic,60.0,4.99,37.0,36.0,other
Fire Truck,DUPLO,6.0,6.99,3.0,6.0,transport
Tow Truck,DUPLO,7.0,6.99,3.0,7.0,transport
Stephanie's Summer Heart Box,Friends,95.0,7.99,40.0,52.0,other
White Baseplate,Classic,1.0,7.99,1.0,1.0,other
My First Tow Truck,DUPLO,11.0,9.99,10.0,10.0,transport
Woody & RC,Disney,69.0,9.99,28.0,36.0,transport
Mia's Summer Heart Box,Friends,85.0,7.99,36.0,41.0,other
Olivia's Summer Heart Box,Friends,93.0,7.99,40.0,48.0,other
Police Patrol Car,City,92.0,9.99,36.0,52.0,transport
Prince Puppycorn Trike,Unikitty,101.0,9.99,56.0,65.0,other
Kai Avatar - Arcade Pod,NINJAGO,49.0,9.99,3.0,31.0,other
Jay Avatar - Arcade Pod,NINJAGO,47.0,9.99,3.0,28.0,other
My First Minnie Build,Disney,10.0,9.99,10.0,9.0,other
Police Bike,DUPLO,8.0,9.99,10.0,7.0,transport
Pizza Stand,DUPLO,18.0,9.99,12.0,15.0,other
Emma's Mobile Veterinary Clinic ,Friends,50.0,9.99,28.0,35.0,transport
Barbecue Burn Out,City,64.0,9.99,28.0,45.0,other
Monster Truck,City,55.0,9.99,32.0,34.0,transport
Jet Patrol,City,54.0,9.99,36.0,45.0,transport
Construction Loader,City,88.0,9.99,36.0,50.0,other
Stunt Team,City,62.0,9.99,36.0,34.0,other
Cole's Speeder Car,NINJAGO,52.0,9.99,36.0,32.0,transport
Ice Cream Cart,Friends,97.0,9.99,40.0,60.0,transport
Puppy Playground,Friends,57.0,9.99,40.0,41.0,other
Police Dog Unit,City,67.0,9.99,40.0,48.0,other
Resistance Y-wing Microfighter,Star Wars,86.0,9.99,40.0,44.0,transport
Street Sweeper,City,89.0,9.99,48.0,55.0,other
Mail Plane,City,74.0,9.99,52.0,55.0,transport
Satellite Service Mission,City,84.0,9.99,56.0,52.0,other
Forest Fire,City,84.0,9.99,56.0,49.0,other
Jungle Raider,NINJAGO,127.0,9.99,60.0,61.0,other
Unikitty Cloud Car,Unikitty,126.0,9.99,60.0,83.0,transport
My First Race Car,DUPLO,6.0,4.99,9.0,6.0,transport
Ocean Mini-Submarine,City,41.0,9.99,37.0,30.0,other
Olivia's Flower Garden,Friends,92.0,9.99,48.0,61.0,other
Aurora's Royal Carriage,Disney,62.0,9.99,28.0,35.0,other
Lloyd Avatar - Arcade Pod,NINJAGO,48.0,9.99,3.0,28.0,other
Moana's Ocean Adventure,Disney,46.0,9.99,36.0,39.0,other
The Taiga Adventure,Minecraft,74.0,9.99,40.0,48.0,other
Kylo Ren's Shuttle Microfighter,Star Wars,72.0,9.99,40.0,40.0,transport
Thanos Mech,Marvel,152.0,9.99,56.0,62.0,other
Iron Man Mech,Marvel,148.0,9.99,64.0,61.0,other
Spider-Man Mech,Marvel,152.0,9.99,68.0,62.0,other
Propeller Plane,Creator 3-in-1,128.0,9.99,112.0,50.0,transport
Sports Car,Creator 3-in-1,134.0,9.99,120.0,60.0,transport
Batboat The Penguin Pursuit!,Batman,54.0,9.99,44.0,41.0,other
Bricks and Ideas,Classic,123.0,9.99,42.0,59.0,other
Mighty Micros: Scarlet Spider vs. Sandman,Marvel,89.0,9.99,7.0,49.0,other
Farm Animals,DUPLO,16.0,9.99,8.0,13.0,other
My First Mickey Build,Disney,9.0,9.99,10.0,8.0,other
Arctic Exploration Team,City,70.0,9.99,28.0,47.0,other
BigFig Pig with Baby Zombie,Minecraft,159.0,14.99,40.0,47.0,other
Dune Buggy,Creator 3-in-1,147.0,12.99,120.0,65.0,transport
BigFig Creeper and Ocelot,Minecraft,184.0,14.99,48.0,65.0,other
Monster Truck,Creator 3-in-1,163.0,14.99,136.0,54.0,transport
Unikitty's Sweetest Friends EVER!,THE LEGO MOVIE 2,76.0,9.99,36.0,50.0,other
Olivia's Heart Box,Friends,85.0,7.99,32.0,38.0,other
Buggy,Technic,117.0,12.99,48.0,47.0,transport
Chevrolet Camaro ZL1 Race Car,Speed Champions,198.0,14.99,60.0,81.0,transport
McLaren Senna,Speed Champions,219.0,14.99,64.0,92.0,transport
Futuristic Flyer,Creator 3-in-1,157.0,14.99,136.0,65.0,other
Deep Sea Creatures,Creator 3-in-1,230.0,14.99,176.0,83.0,other
Gamora,BrickHeadz,136.0,9.99,48.0,51.0,other
Mini CLAAS XERION,Technic,130.0,12.99,56.0,45.0,other
1974 Porsche 911 Turbo 3.0,Speed Champions,180.0,14.99,80.0,75.0,transport
Sith Troopers Battle Pack,Star Wars,105.0,14.99,40.0,51.0,other
Mandalorian Battle Pack,Star Wars,102.0,14.99,44.0,59.0,other
Playroom,DUPLO,17.0,14.99,2.0,16.0,other
Death Star Cannon,Star Wars,159.0,19.99,80.0,79.0,other
Rainbow Fun,Classic,85.0,4.99,37.0,42.0,other
Han Solo,Star Wars,141.0,9.99,44.0,51.0,other
Arctic Ice Glider,City,50.0,6.99,28.0,30.0,transport
Olaf,LEGO Frozen 2,122.0,14.99,52.0,61.0,other
Spinjitzu Slam - Jay,NINJAGO,72.0,9.99,44.0,37.0,other
Emma's Summer Heart Box,Friends,86.0,7.99,36.0,45.0,other
Rainbow Jewellery Stand,DOTS,213.0,14.99,4.0,42.0,other
Bedroom,DUPLO,16.0,14.99,2.0,16.0,other
Animal Picture Holders,DOTS,423.0,14.99,4.0,54.0,other
Stephanie's Heart Box,Friends,85.0,7.99,32.0,36.0,other
Andrea's Summer Heart Box,Friends,83.0,7.99,36.0,46.0,other
Cole - Dragon Master,NINJAGO,92.0,14.99,48.0,54.0,other
The Samurai Mech,NINJAGO,154.0,14.99,48.0,71.0,other
Introducing Queen Watevra Wa'Nabi,THE LEGO MOVIE 2,115.0,19.99,48.0,82.0,other
Ferrari F40 Competizione,Speed Champions,198.0,14.99,56.0,72.0,transport
Helicopter Adventure,Creator 3-in-1,114.0,9.99,92.0,68.0,transport
Spinjitzu Slam - Lloyd,NINJAGO,70.0,9.99,44.0,34.0,other
Mia's Play Cube - Cinema,Friends,37.0,9.99,5.0,31.0,building
Monastery Training,NINJAGO,122.0,9.99,40.0,65.0,building
Systar Party Crew,THE LEGO MOVIE 2,196.0,19.99,80.0,104.0,other
Party Time,Unikitty,214.0,19.99,80.0,119.0,other
Mulan's Storybook Adventures,Disney,124.0,19.99,3.0,72.0,other
Toy Story Train,Disney,21.0,19.99,8.0,19.0,transport
Creative Suitcase,Classic,213.0,19.99,36.0,89.0,other
Carnival Thrill Coaster,Disney,98.0,19.99,44.0,56.0,other
Expecto Patronum,Harry Potter,121.0,19.99,48.0,55.0,other
Vulture's Trucker Robbery,Marvel,93.0,19.99,48.0,62.0,other
Captain America: Outriders Attack,Marvel,167.0,19.99,52.0,75.0,other
Cole's Dirt Bike,NINJAGO,212.0,19.99,56.0,97.0,transport
The Rise of Voldemort,Harry Potter,184.0,19.99,56.0,102.0,other
Mia's Foal Stable ,Friends,118.0,19.99,64.0,66.0,building
Welcome to the Hidden Side,Hidden Side,189.0,19.99,68.0,103.0,other
The Chicken Coop,Minecraft,198.0,19.99,72.0,90.0,other
The End Battle,Minecraft,222.0,19.99,72.0,91.0,other
Construction Bulldozer,City,126.0,19.99,84.0,81.0,transport
Avengers Speeder Bike Attack,Marvel,226.0,19.99,104.0,97.0,transport
My First Ladybird,DUPLO,6.0,4.99,9.0,5.0,other
My First Car Creations,DUPLO,34.0,19.99,10.0,31.0,transport
Snow Groomer,City,197.0,19.99,60.0,81.0,other
Anna's Canoe Expedition,LEGO Frozen 2,108.0,19.99,64.0,61.0,transport
Diving Yacht,City,148.0,19.99,64.0,81.0,transport
Emmet's Thricycle!,THE LEGO MOVIE 2,174.0,14.99,84.0,100.0,other
Garbage Truck,City,90.0,19.99,40.0,52.0,transport
Anna and Elsa's Storybook Adventures,LEGO Frozen 2,133.0,19.99,3.0,71.0,other
Ariel's Storybook Adventures,Disney,105.0,19.99,3.0,61.0,other
Belle's Storybook Adventures,Disney,111.0,19.99,3.0,71.0,other
Aquaman,BrickHeadz,135.0,9.99,36.0,40.0,other
Mountain Fugitives,City,88.0,9.99,36.0,61.0,other
Jasmine's Petite Tower,Disney,49.0,9.99,24.0,35.0,building
Poppy's Pod,Trolls World Tour,103.0,19.99,68.0,70.0,other
Techno Reef Dance Party,Trolls World Tour,173.0,19.99,72.0,85.0,other
The Zombie Cave,Minecraft,241.0,19.99,84.0,88.0,other
Emma's Play Cube - Toy Store,Friends,49.0,9.99,5.0,42.0,building
Andrea's Heart Box,Friends,84.0,7.99,32.0,38.0,other
Speed Record Car,City,78.0,9.99,40.0,47.0,transport
Jack's Beach Buggy,Hidden Side,170.0,19.99,56.0,98.0,transport
The Wool Farm,Minecraft,260.0,19.99,80.0,81.0,other
Duel on Mustafar ,Star Wars,208.0,19.99,80.0,84.0,other
Rex's Rex-treme Offroader!,THE LEGO MOVIE 2,236.0,29.99,132.0,109.0,other
Rocket Truck,Creator 3-in-1,198.0,19.99,148.0,90.0,transport
Imperial Patrol Battle Pack,Star Wars,99.0,14.99,36.0,43.0,other
The Panda Nursery,Minecraft,204.0,19.99,48.0,76.0,other
Police Pursuit,Technic,120.0,19.99,114.0,39.0,other
Good Morning Sparkle Babies!,THE LEGO MOVIE 2,50.0,9.99,32.0,44.0,other
Unstoppable Bike Chase,Minions,136.0,19.99,60.0,79.0,transport
Ice-Cream Truck,City,200.0,19.99,100.0,112.0,transport
Emma's Heart Box,Friends,85.0,7.99,32.0,38.0,other
Mulan's Training Day,Disney,104.0,14.99,36.0,62.0,other
Elsa and Olaf's Tea Party,DUPLO,17.0,19.99,12.0,13.0,other
Olivia's Play Cube - Researcher,Friends,40.0,9.99,5.0,34.0,other
Mia's Play Cube - Veterinarian,Friends,40.0,9.99,5.0,32.0,other
Emma's Play Cube - Photographer,Friends,36.0,9.99,5.0,31.0,other
Basic Brick Set ,Classic,300.0,19.99,66.0,93.0,other
Underwater Robot,Creator 3-in-1,207.0,19.99,140.0,81.0,other
Sunset Track Racer,Creator 3-in-1,221.0,19.99,144.0,81.0,transport
Andrea's Car & Stage,Friends,240.0,19.99,68.0,116.0,transport
Heart Box,DUPLO,80.0,19.99,2.0,39.0,other
Submarine Adventure,DUPLO,24.0,19.99,8.0,22.0,transport
Fire Truck,DUPLO,21.0,19.99,10.0,16.0,transport
Minnie's Birthday Party,Disney,21.0,19.99,12.0,18.0,other
Train Tracks,DUPLO,23.0,19.99,16.0,9.0,transport
Spinjitzu Zane,NINJAGO,109.0,9.99,32.0,21.0,other
Juice Truck,Friends,103.0,19.99,52.0,75.0,transport
Kai's Fire Dragon,NINJAGO,81.0,19.99,60.0,48.0,other
Safari Off-Roader,City,168.0,19.99,76.0,86.0,other
Heartlake City Hair Salon,Friends,235.0,19.99,84.0,138.0,other
T-16 Skyhopper vs Bantha Microfighters,Star Wars,198.0,19.99,84.0,100.0,other
Kai's Mech Jet,NINJAGO,217.0,19.99,116.0,94.0,transport
Naboo Starfighter Microfighter,Star Wars,62.0,9.99,36.0,42.0,transport
Spinjitzu Slam - Zane,NINJAGO,63.0,9.99,40.0,37.0,other
Stephanie's Play Cube - Baker,Friends,44.0,9.99,5.0,37.0,other
Mia's Heart Box,Friends,83.0,7.99,32.0,38.0,other
Olivia's Play Cube - Sweet Shop,Friends,47.0,9.99,5.0,40.0,building
Desert Rally Racer,City,75.0,9.99,36.0,45.0,transport
Race Truck,Technic,227.0,19.99,35.0,59.0,transport
Hook Loader,Technic,176.0,14.99,104.0,48.0,other
Andrea's Play Cube - Singer,Friends,49.0,9.99,5.0,32.0,other
Rapunzel's Small Tower,Disney,44.0,9.99,24.0,28.0,building
Mia's Forest Adventures ,Friends,134.0,14.99,44.0,77.0,other
Nissan GT-R NISMO,Speed Champions,298.0,19.99,80.0,101.0,transport
Cyborg,BrickHeadz,108.0,9.99,32.0,48.0,other
Cole - Spinjitzu Master,NINJAGO,73.0,9.99,32.0,40.0,other
Zane - Dragon Master,NINJAGO,92.0,14.99,48.0,54.0,other
Extreme Engines,Creator 3-in-1,109.0,9.99,76.0,53.0,other
Mighty Micros: Star-Lord vs. Nebula,Marvel,86.0,9.99,7.0,45.0,other
My First Fun Puzzle,DUPLO,15.0,19.99,9.0,15.0,other
Fire Dragon,Creator 3-in-1,234.0,19.99,132.0,80.0,other
Zane - Spinjitzu Master,NINJAGO,69.0,9.99,32.0,38.0,other
Andrea's Play Cube - Pet Shop,Friends,40.0,9.99,5.0,33.0,building
Bubbles Playground Showdown,Powerpuff Girls,144.0,19.99,48.0,92.0,other
Benny's Space Squad,THE LEGO MOVIE 2,68.0,9.99,32.0,53.0,other
Drone Explorer,Creator 3-in-1,109.0,9.99,80.0,56.0,transport
Lloyd's Journey,NINJAGO,81.0,14.99,36.0,50.0,other
Olivia's Hamster Playground,Friends,81.0,9.99,40.0,52.0,other
Desk Organiser,DOTS,405.0,19.99,4.0,44.0,other
Elsa,BrickHeadz,130.0,9.99,44.0,48.0,other
Snowspeeder,Star Wars,91.0,19.99,56.0,64.0,transport
Hogwarts Room of Requirement,Harry Potter,193.0,19.99,60.0,90.0,other
Dr. Wu's Lab: Baby Dinosaurs Breakout,Jurassic World,164.0,19.99,64.0,100.0,other
Heartlake City Park Caf̩,Friends,224.0,19.99,72.0,117.0,other
Spider-Man vs. Doc Ock,Marvel,234.0,19.99,72.0,80.0,other
Ferrari F8 Tributo,Speed Champions,275.0,19.99,72.0,92.0,transport
1985 Audi Sport Quattro S1,Speed Champions,250.0,19.99,76.0,102.0,transport
Bricks and Houses,Classic,270.0,19.99,77.0,121.0,other
The Mandalorian & The Child,Star Wars,295.0,19.99,88.0,123.0,other
Emmet and Benny's 'Build and Fix' Workshop!,THE LEGO MOVIE 2,117.0,19.99,48.0,73.0,other
Jewellery Box,DOTS,374.0,19.99,3.0,35.0,other
Pineapple Pencil Holder,DOTS,351.0,19.99,4.0,39.0,other
Duke Caboom's Stunt Show,Disney,120.0,19.99,48.0,62.0,other
Golden Dragon Master,NINJAGO,92.0,14.99,48.0,54.0,other
J.B.'s Submarine,Hidden Side,224.0,19.99,64.0,120.0,transport
Battle-Ready Batman and MetalBeard,Batman,168.0,19.99,64.0,98.0,other
Baby Elephant Jungle Rescue,Friends,203.0,19.99,68.0,111.0,other
Dragster,Technic,225.0,19.99,80.0,68.0,transport
Wrecking Ball,Overwatch,227.0,19.99,84.0,78.0,other
Getaway Truck,Technic,128.0,19.99,110.0,33.0,transport
Kai - Dragon Master,NINJAGO,92.0,14.99,48.0,53.0,other
Rey,Star Wars,119.0,9.99,36.0,50.0,other
Batman vs. The Riddler Robbery,Batman,59.0,9.99,36.0,44.0,other
World Fun,Classic,295.0,19.99,53.0,149.0,other
Baby Animals,DUPLO,9.0,9.99,8.0,9.0,other
Mining Power Splitter,City,127.0,19.99,60.0,85.0,other
Buzz and Bo Peep's Playground Adventure,Disney,139.0,24.99,48.0,85.0,other
Tracer vs. Widowmaker,Overwatch,129.0,14.99,48.0,74.0,other
Spinjitzu Slam - Kai vs. Samurai,NINJAGO,164.0,19.99,76.0,67.0,other
Outrider Dropship Attack,Marvel,124.0,14.99,52.0,63.0,other
Han Solo,Star Wars,101.0,24.99,44.0,55.0,other
Shuttle Transporter,Creator 3-in-1,341.0,24.99,268.0,122.0,transport
Alphabet Truck,DUPLO,36.0,24.99,1.0,35.0,transport
Train Bridge and Tracks,DUPLO,26.0,24.99,16.0,10.0,transport
Mining Team,City,82.0,9.99,32.0,64.0,other
Elsa's Market Adventure,Disney,125.0,19.99,48.0,78.0,building
Drone Chase,City,192.0,29.99,100.0,112.0,transport
